xuhao,type,content,answer,A,B,C,D,E,F
247,单选题,247.____，标志着中国人民谋求民族独立、人民解放和国家富强、人民幸福的斗争就有了主心骨，中国人民就从精神上由被动转为主动。,A,1921年中国共产党应运而生,1949年新中国成立,1937年卢沟桥事变,1919年五四运动,,
248,单选题,248.我们党团结带领人民找到了一条以____的正确革命道路，进行了二十八年浴血奋战，完成了新民主主义革命。,C,城市包围农村、武装夺取政权,城市包围农村、抗争夺取政权,农村包围城市、武装夺取政权,农村包围城市、抗争夺取政权,,
249,单选题,249.我们党团结带领人民完成社会主义革命，确立社会主义基本制度，推进社会主义建设，完成了中华民族有史以来最为广泛而深刻的社会变革，为当代中国一切发展进步奠定了根本____。,B,政治前提和经济基础,政治前提和制度基础,制度前提和社会基础,制度前提和经济基础,,
250,单选题,250.必须把维护中央对香港、澳门特别行政区全面管治权和保障特别行政区高度自治权有机结合起来，确保“一国两制”方针____，确保“一国两制”实践____。,D,不变化、不走调不会变、不动摇,不会变、不动摇不变化、不走调,不变形、不走样不会变、不动摇,不会变、不动摇不变形、不走样,,
251,单选题,251.加快建设____，推动互联网、大数据、人工智能和实体经济深度融合，在中高端消费、创新引领、绿色低碳、共享经济、现代供应链、人力资本服务等领域培育新增长点、形成新动能。,B,制造大国,制造强国,消费大国,消费强国,,
252,单选题,252.实施乡村振兴战略，巩固和完善农村基本经营制度，深化农村土地制度改革，完善承包地____制度。,C,“五权”分置,“四权”分置,“三权”分置,“两权”分置,,
253,单选题,253.党的十九大报告指出，确保国家____，把中国人的饭碗牢牢端在自己手中。,B,大米安全,粮食安全,食物安全,玉米安全,,
254,单选题,254.加快建立现代财政制度，建立权责清晰、财力协调、区域均衡的____。,D,财税体系,分税制体制,公共财政制度,中央和地方财政关系,,
255,单选题,255.党的十九大报告指出，要以“一带一路”建设为重点，坚持____并重，遵循共商共建共享原则，加强创新能力开放合作，形成陆海内外联动、东西双向互济的开放格局。,A,引进来和走出去,政治与经济效益,改革与发展,内联和外引,,
256,单选题,256.实行高水平的贸易和投资自由化便利化政策，全面实行准入前国民待遇加____，大幅度放宽市场准入，扩大服务业对外开放，保护外商投资合法权益。,A,负面清单管理制度,正面清单管理制度,权力清单管理制度,许可清单管理制度,,
257,单选题,257.发展社会主义民主政治就是要体现人民意志、保障人民权益、激发人民创造活力，用制度体系保证____。,D,人民权益,人民利益,人民参政议政,人民当家作主,,
258,单选题,258.中国特色社会主义____，是近代以来中国人民长期奋斗历史逻辑、理论逻辑、实践逻辑的必然结果，是坚持党的本质属性、践行党的根本宗旨的必然要求。,B,经济发展道路,政治发展道路,文化发展道路,行政发展道路,,
259,单选题,259.世界上没有完全相同的政治制度模式，政治制度不能脱离特定社会____来抽象评判，不能定于一尊，不能生搬硬套外国政治制度模式。,A,政治条件和历史文化传统,经济基础和上层建筑,国民素质和历史传统,经济水平和国民素质,,
260,单选题,260.推进社会主义民主政治____，保证人民依法通过各种途径和形式管理国家事务，管理经济文化事业，管理社会事务，巩固和发展生动活泼、安定团结的政治局面。,D,制度化、规范化、理性化,科学化、规范化、程序化,科学化、法制化、程序化,制度化、规范化、程序化,,
261,单选题,261.扩大人民____，保证人民依法实行民主选举、民主协商、民主决策、民主管理、民主监督。,A,有序政治参与,有序社会参与,有序行政参与,有序公共参与,,
262,单选题,262.有事好商量，____，是人民民主的真谛。,B,百姓的事情由政府商量,众人的事情由众人商量,国家的事情由政协商量,众人的事情由父母宫商量,,
263,单选题,263.协商民主是实现党的领导的重要方式，是我国社会主义民主政治的____。,C,基本特色,主要优势,特有形式和独特优势,最大特色与优势,,
264,单选题,264.深化司法体制综合配套改革，全面落实____，努力让人民群众在每一个司法案件中感受到公平正义。,C,执法责任制,司法问责制,司法责任制,执法问责制,,
265,单选题,265.____要带头尊法学法守法用法，任何组织和个人都不得有超越宪法法律的特权，绝不允许以言代法、以权压法、逐利违法、徇私枉法。,D,领导干部,公务员,政府工作人员,各级党组织和全体党员,,
266,单选题,266.要高举____旗帜，牢牢把握大团结大联合的主题，坚持一致性和多样性统一，找到最大公约数，画出最大同心圆。,A,爱国主义、社会主义,爱国主义、集体主义,民族主义、社会主义,民族主义、集体主义,,
267,单选题,267.要坚持为人民服务、为社会主义服务，坚持____，坚持创造性转化、创新性发展，不断铸就中华文化新辉煌。,C,兼容并包、百家争鸣,兼容并包、自由争鸣,百花齐放、百家争鸣,百花齐放、自由争鸣,,
268,单选题,268.必须推进马克思主义____，建设具有强大凝聚力和引领力的社会主义意识形态，使全体人民在理想信念、价值理念、道德观念上紧紧团结在一起。,C,中国化科学化大众化,中国化时代化主流化,中国化时代化大众化,中国化民族化大众化,,
269,单选题,269.要落实意识形态工作责任制，加强阵地建设和管理，注意区分____，旗帜鲜明反对和抵制各种错误观点。,A,政治原则问题、思想认识问题、学术观点问题,政治原则问题、观念意识问题、学术观点问题,理论创新问题、思想认识问题、学术观点问题,理论创新问题、思想认识问题、学术争鸣问题,,
270,单选题,270.推进诚信建设和志愿服务制度化，强化社会____。,B,责任意识、规则意识、维权意识,责任意识、规则意识、奉献意识,权利意识、规则意识、奉献意识,权利意识、法治意识、奉献意识,,
271,单选题,271.加快____，实现高等教育内涵式发展。,B,一流大学和一流师资建设,一流大学和一流学科建设,一流学术和一流学科建设,一流学术和一流师资建设,,
272,单选题,272.坚持房子是____定位，加快建立多主体供给、多渠道保障、租购并举的住房制度，让全体人民住有所居。,D,用来住的、不是用来卖的,用来租的、不是用来卖的,用来租的、不是用来炒的,用来住的、不是用来炒的,,
273,单选题,273.坚持大扶贫格局，注重扶贫同____，深入实施东西部扶贫协作，重点攻克深度贫困地区脱贫任务。,B,扶志、扶人相结合,扶志、扶智相结合,扶智、扶物相结合,扶智、扶人相结合,,
274,单选题,274.积极应对人口老龄化，构建____政策体系和社会环境，推进医养结合，加快老龄事业和产业发展。,C,养老、爱老、敬老,养老、孝老、尊老,养老、孝老、敬老,养老、护老、敬老,,
275,单选题,275.加强社区治理体系建设，推动社会治理重心向____下移。,A,基层,地方,社区,单位,,
276,单选题,276.加强社会治理制度建设，完善党委领导、政府负责、社会协同、公众参与、____的社会治理体制。,A,法治保障,政策保障,技术保障,道德保障,,
277,单选题,277.要完善国家安全战略和国家安全政策，坚决维护国家____，统筹推进各项安全工作。,B,经济安全,政治安全,社会安全,文化安全,,
278,单选题,278.加快建立绿色生产和消费的____，建立健全绿色低碳循环发展的经济体系。,D,市场机制和政策导向,市场机制和技术导向,法律制度和技术导向,法律制度和政策导向,,
279,单选题,279.中国秉持共商共建共享的全球治理观，倡导国际关系民主化，坚持____一律平等，支持联合国发挥积极作用，支持扩大发展中国家在国际事务中的代表性和发言权。,D,国家不分大小、南北、贫富,国家不分大小、强弱、南北,国家不分东西、强弱、贫富,国家不分大小、强弱、贫富,,
280,单选题,280.____有理想、有本领、有担当，国家就有前途，民族就有希望。,C,中年一代,少年一代,青年一代,壮年一代,,
281,单选题,281.党的十九大报告把____，确立为党必须长期坚持的指导思想并写进党章，实现了党的指导思想的与时俱进。,B,中国特色社会主义理论体系,习近平新时代中国特色社会主义思想,新时代中国特色社会主义理论体系,中国特色社会主义进入新时代,,
282,单选题,282.____通过的宪法修正案，郑重地把习近平新时代中国特色社会主义思想载入宪法，实现了从党的指导思想向国家指导思想的转化。,A,十三届全国人大一次会议,十三届全国政协一次会议,党的十九届二中全会,党的十九届三中全会,,
283,单选题,283.习近平新时代中国特色社会主义思想，是马克思主义中国化的最新成果，是党和人民实践经验和集体智慧的结晶，是中国精神的时代精华，是____的根本指针。,D,实施中国共产党领导,中国特色社会主义道路,中国特色社会主义先进文化,国家政治生活和社会生活,,
284,单选题,284.习近平新时代中国特色社会主义思想，是____的结晶，习近平总书记是这一思想的主要创立者。,C,社会主义建设伟大实践,马克思主义中国化最新成果,党和人民实践经验和集体智慧,人民群众集体创造,,
285,单选题,285.____，是习近平新时代中国特色社会主义思想的核心要义。,B,坚持马克思主义的理论指导,坚持和发展中国特色社会主义,坚持人民中心,坚持党的领导,,
286,单选题,286.____，是习近平新时代中国特色社会主义思想的核心内容。,C,坚持人民中心,坚持党的领导,“8个明确”“14个坚持”,“五位一体”“四个全面”,,
287,单选题,287.____，是改革开放以来党的全部理论和实践的主题，是当代中国发展进步的根本方向。,D,推动马克思主义中国化,实现中华民族伟大复兴,坚持中国特色社会主义道路,坚持和发展中国特色社会主义,,
288,单选题,288.5000多年连绵不断、博大精深的中华文化，包含着____，是中华民族生生不息、发展壮大的丰厚滋养。,A,中华民族最根本的精神基因,中华优秀思想文化中的优秀成分,中华民族的突出优势,中华民族可歌可泣的抗争历史,,
289,单选题,289.优秀传统文化是一个国家、一个民族传承和发展的根本，必须对其进行____，使之成为新时代坚持和发展中国特色社会主义的宝贵资源。,C,继承和发扬,扬弃,创造性转化和创新性发展,当代移植,,
290,单选题,290.____是指导党和人民实现中华民族伟大复兴的正确理论，是立于时代前沿、与时俱进的科学理论。,B,习近平新时代中国特色社会主义思想,中国特色社会主义理论体系,马克思主义,为人民服务,,
291,单选题,291.____正成为21世纪科学社会主义发展的旗帜，成为振兴世界社会主义的中流砥柱。,A,新时代中国特色社会主义,习近平新时代中国特色社会主义思想,当代马克思主义中国化,社会主义中国,,
292,单选题,292.党的十八大以来，管党治党实现从____到____的深刻转变。,B,局部从严治党 全面从严治党,“宽松软” “严紧硬”,宽松环境 从严环境,放任自流 全面治理,,
293,单选题,293.习近平总书记指出，“五年来的成就是全方位的、开创性的，五年来的变革是____、____。”,D,全方位的 开创性的,彻底的 革命性的,有目共睹的 毋庸置疑的,深层次的 根本性的,,
294,单选题,294.用新时代来界定当前我国发展的历史方位，有利于进一步____、____，在新的起点上把中国特色社会主义事业推向前进。,B,达成共识 加速发展,统一思想 凝聚力量,统一思想 加速发展,达成共识 凝聚力量,,
295,单选题,295.中国特色社会主义进入新时代，意味着近代以来久经磨难的中华民族迎来了从站起来、富起来到强起来的伟大飞跃，迎来了____。,C,走向世界的重大时代机遇,建设社会主义现代化强国的重要机遇,实现中华民族伟大复兴的光明前景,人民共同富裕的重要机会,,
296,单选题,296.中国特色社会主义进入新时代，意味着科学社会主义在21世纪的中国焕发出强大生机活力，在世界上高高举起了____。,D,马克思主义伟大旗帜,科学社会主义伟大旗帜,社会主义道路伟大旗帜,中国特色社会主义伟大旗帜,,
297,单选题,297.我国的实践向世界说明了一个道理，世界上没有一种普遍适用的发展模式，推动一个国家实现现代化并不是只有____这一条道，各国完全可以走出自己的路。,C,西方发达国家模式,欧美发达国家模式,西方制度模式,西方现代化模式,,
298,单选题,298.经过改革开放40年的发展，我国社会生产力水平总体上显著提高。我国国内生产总值自____开始稳居世界第二位。,B,2008年,2010年,2013年,2014年,,
299,单选题,299.改革开放以来，我国人民生活水平不断迈上新台阶，人均国内生产总值从1978年的385元增长到____的59660元，年均增长9.5%，已经达到中等偏上收入国家水平。,D,2008年,2012年,2016年,2017年,,
300,单选题,300.改革开放以来，农村贫困发生率从1978年的97.5%大幅下降到2017年的____以下，远低于世界平均水平。,C,5.20%,4.60%,3.10%,1.80%,,
301,单选题,301.发展不平衡，主要是指各区域各领域各方面发展不够平衡，存在“____”的失衡现象，制约了整体发展水平提升。,A,一条腿长、一条腿短,一条腿粗、一条腿细,一只手长、一只手短,一部分强、一部分弱,,
302,单选题,302.发展不平衡不充分问题相互制肘，带来很多社会矛盾和问题，是现阶段各种社会矛盾社会问题交织的____。,C,重要表现,突出表现,主要根源,根本原因,,
303,单选题,303.把人民对美好生活的向往作为奋斗目标，关键是____。,C,坚持党的领导,坚持中国特色社会主义道路,站稳人民立场,发展经济,,
304,单选题,304.把人民对美好生活的向往作为奋斗目标，最终要落实到____。,B,共享发展的行动上,实现好、维护好、发展好最广大人民的根本利益上,社会主义的分配原则和分配制度上,解决贫富分化问题上,,
305,单选题,305.____是党在新的时代条件下带领全国各族人民进行的新的伟大革命。,B,党的建设,改革开放,全面从严治党,中国梦,,
306,单选题,306.习近平总书记强调，改革开放只有进行时，没有完成时。改革是由问题倒逼而产生，又在不断解决问题中得以____。,A,深化,升华,推进,发展,,
307,单选题,307.把握好全面深化改革正确方向，就要把握好坚持和发展中国特色社会主义的____。,D,基本道路,主要途径,重要手段,根本政治方向,,
308,单选题,308.____是一个国家的制度和制度执行能力的集中体现。,C,贯彻和落实党的领导,实现共同富裕,国家治理体系和治理能力,政治建设,,
309,单选题,309.党的十九大围绕党和国家事业发展新要求，站在更高起点上谋划和推进____，部署了一大批力度更大、要求更高、举措更实的改革任务。,B,中国特色社会主义,全面深化改革,马克思主义,科学社会主义,,
310,单选题,310.坚持以____深化改革。中国共产党人干革命、搞建设、抓改革，都是为了解决中国的现实问题。,C,实现中华民族伟大复兴,党的十九大精神,问题为导向,实践为基础,,
311,单选题,311.坚持改革的____、____、____，这是全面深化改革的内在要求，也是推进改革的重要方法。,A,系统性 整体性 协同性,创造性 协调性 开放性,有效性 实践性 理论性,实践性 理论性 系统性,,
312,单选题,312.坚持____与____良性互动，改革开放在认识和实践上的每一次突破和发展，无不来自人民群众的实践和创造。,C,理论 实践,创新 发展,顶层设计 基层探索,战略谋划 策略路径,,
313,单选题,313.改革推进到今天，比认识更重要的是决心，比方法更关键的是____。,B,理性,担当,气魄,勇气,,
314,单选题,314.习近平总书记强调，凡属重大改革都要于法有据。在整个改革过程中，都要高度重视运用____。,C,司法途径解决问题,法律思维和法律方式,法治思维和法治方式,法制思维和法制方式,,
315,单选题,315.____是习近平新时代中国特色社会主义经济思想的主要内容，深化拓展了我们党对中国特色社会主义经济发展规律的认识，丰富发展了中国特色社会主义政治经济学。,B,中国经济进入新常态的判断,新发展理念,“一带一路”倡议,构建人类命运共同体,,
316,单选题,316.全面小康，覆盖领域要全面，____是全面进步的小康。,D,14亿中国人民,东中西部,以经济建设为中心,“五位一体”,,
317,单选题,317.要坚持精准扶贫、精准脱贫基本方略，坚持____、____、____“三位一体”大扶贫格局。,B,授人以鱼 授人以渔 永续发展,专项扶贫 行业扶贫 社会扶贫,专项资金 专项物质 专门人才,自身脱贫 政府引导 社会参与,,
318,单选题,318.紧紧抓住大有可为的历史机遇期，需要我们增强____，注意防范风险。,C,自律意识,大局观,忧患意识,担当意识,,
319,单选题,319.推进____，是适应把握引领经济发展新常态的重大创新，是适应国际金融危机发生后综合国力竞争新形势的主动选择，是推动我国经济实现高质量发展的必然要求。,B,建设现代化经济体系,供给侧结构性改革,形成全面对外开放新格局,构建经济高质量发展的体制机制,,
320,单选题,320.无论是使市场在资源配置中起决定性作用，还是更好地发挥政府作用，都必须毫不动摇地坚持____。,C,中国特色社会主义道路,马克思主义理论,我国基本经济制度,共同富裕,,
321,单选题,321.我国社会主义民主是维护人民根本利益的最广泛、最真实、最管用的民主。发展____就是要体现人民意志、保障人民权益、激发人民创造活力，用制度体系保证人民当家做主。,D,人民民主专政,中国特色社会主义,人民当家做主,社会主义民主政治,,
322,单选题,322.____是中国社会主义民主政治中独特的、独有的、独到的民主形式。,C,政治协商会议制度,人民代表大会制度,协商民主,政治协商,,
323,单选题,323.____是一个内容丰富的有机整体，是我国法治建设的“纲”，是国家治理体系的骨干工程。,B,依法治国,中国特色社会主义法治体系,新时代中国特色社会主义,社会主义法律体系,,
324,单选题,324.新时代坚持和发展中国特色社会主义，需要不断在实践和理论上进行探索、用发展着的理论指导发展着的实践。在这个过程中，____具有不可替代的重要地位。,C,马克思主义理论,新时代中国特色社会主义思想,哲学社会科学,文艺,,
325,单选题,325.____决定文化前进方向和发展道路，对一个政党、一个国家、一个民族的生存发展至关重要。,B,价值观,意识形态,政治立场,社会主义核心价值观,,
326,单选题,326.____是推动发展的根本目的。以人民为中心的发展思想，不是一个抽象的、玄奥的概念，不能只停留在口头上、止步于思想环节，而要体现在经济社会发展各个环节。,A,保障和改善民生,提高人民群众获得感,共享发展,共同富裕,,
327,单选题,327.社会治理是一门科学，要运用正确方法论，坚持辩证唯物主义和历史唯物主义，正确理解____和____处理好和的关系，首先要把群众合理合法的利益诉求解决好。,C,发展 公平,社会治理 经济发展,维稳 维权,政府 社会,,
328,单选题,328.推动形成绿色发展方式和生活方式，重点是推进产业结构、空间结构、能源结构、消费方式的____。,B,转型升级,绿色转型,可持续发展,和谐共生,,
329,单选题,329.推动建设相互尊重、公平正义、合作共赢的____，是构建人类命运共同体的基本路径。,C,新型大国关系,国际新秩序,新型国际关系,外交政策,,
330,单选题,330.建设____，是以习近平同志为核心的党中央统揽政治、外交、经济社会发展全局作出的重大战略决策，是实施新一轮扩大开放的重要举措。,D,自由贸易试验区,人类命运共同体,国际新秩序,“一带一路”,,
331,单选题,331.____，是马克思主义的根本观点，是中国共产党人认识世界、改造世界的根本要求，是我们党的基本思想方法、工作方法、领导方法。,B,为人民服务,实事求是,以人民为中心,调查研究,,
332,单选题,332.改革越深入，越要注意____，促进各项改革举措在政策取向上相互配合、在实施过程中相互促进、在改革成效上相得益彰，朝着全面深化改革总目标聚焦发力。,D,协调推进,整体配合,协调,协同,,
333,单选题,333.对文艺来讲，思想和价值观念是____，一切表现形式都是表达一定思想和价值观念的载体。离开了一定思想和价值观念，在丰富多样的表现形式也是苍白无力的。,C,内核,基础,灵魂,根本,,
334,单选题,334.加强中国特色新型智库建设，重点围绕国家重大战略需求开展____政策研究。,B,科学性、可持续性、前瞻性,前瞻性、针对性、储备性,可行性、针对性、储备性,前瞻性、科学性、导向性,,
335,单选题,335.加快推进深度贫困地区脱贫攻坚，要按照党中央统一部署，坚持精准扶贫精准脱贫基本方略，坚持____的管理体制，坚持党政一把手负总责的工作责任制，坚持专项扶贫、行业扶贫、社会扶贫等多方力量、多种举措有机结合和互为支撑的“三位一体”大扶贫格局。,C,党委领导、政府负责、社会协同、公众参与、法治保障,分类管理、注重实效,中央统筹、省负总责、市县抓落实,政府负责、社会协同、公众参与,,
336,单选题,336.习近平在会见第一届全国文明家庭代表时发表讲话，指出正所谓“____”。尊老爱幼、妻贤夫安，母慈子孝、兄友弟恭、耕读传家、勤俭持家，知书达礼、遵纪守法，家和万事兴等中华民族传统家庭美德，铭记在中国人的心灵中，融入中国人的血脉中，是支撑中华民族生生不息、薪火相传的重要精神力量，是家庭文明建设的宝贵精神财富。,D,积善之家，必有余庆,爱子，教之以义方,治国必先齐其家者,天下之本在家,,
337,单选题,337.____是一个政党、一个国家的根本性问题。战略上判断得准确，战略上谋划得科学，战略上赢得主动，党和人民事业就大有希望。,B,为什么人服务问题,战略问题,制度问题,道路问题,,
338,单选题,338.习近平总书记在全国党校工作会议上讲话指出，在坚持____这个重大原则问题上，我们脑子要特别清醒、眼睛要特别明亮、立场要特别坚定，决不能有任何含糊和动摇。,A,党的领导,中国特色社会主义道路,马克思主义理论,改革开放,,
339,单选题,339.____，既有战略目标，也有战略举措，每一个“全面”都具有重大战略意义，是我们党在新形势下治国理政的总方略，是事关党和国家长远发展的总战略。,C,新发展理念,全面建成小康社会,“四个全面”战略布局,“五位一体”总体布局,,
340,单选题,340.马克思主义是我们立党立国的根本指导思想。同时，面对新的时代特点和实践要求，马克思主义也面临着进一步____的问题。,D,提升和完善,与时俱进,当代化,中国化、时代化、大众化,,
341,单选题,341.中国特色社会主义道路是实现社会主义现代化的必由之路，是____的必由之路。,C,实现中华民族伟大复兴,实现共产主义,创造人民美好生活,满足人民群众发展需要,,
342,单选题,342.____是马克思主义政党的本质属性，我们加强党的建设，就是要同一切弱化先进性、损害纯洁性的问题作斗争，祛病疗伤，激浊扬清。,B,人民性,先进性和纯洁性,革命性,无产阶级,,
343,单选题,343.____是全面从严治党的基础。,A,严肃党内政治生活,确保党员的先锋模范作用,党内民主,党的作风,,
344,单选题,344.伟大长征精神，是中国共产党及其领导的人民军队革命风范的生动反映，是中华民族自强不息的民族品格的集中展示，是以____为核心的民族精神的最高体现。,C,不怕牺牲,追求卓越,爱国主义,自强不息,,
345,单选题,345.我们坚持和发展中国特色社会主义，必须高度重视理论的作用，增强____和战略定力。,D,文化自信,道路自信,制度自信,理论自信,,
346,单选题,346.转方式调结构是“十三五”时期的关键任务。要以结构深度调整、____为主线调整完善相关政策，构建产业新体系。,C,推动转型升级,推动科技创新,振兴实体经济,加快金融创新,,
347,单选题,347.我们要坚持____的发展思想，针对特定人群面临的特定困难，想方设法帮助他们解决实际问题。,B,共享,以人民为中心,共同富裕,可持续,,
348,单选题,348.消除贫困、改善民生、____，是社会主义的本质要求，是我们党的重要使命。全面建成小康社会，是我们对全国人民的庄严承诺。,A,逐步实现共同富裕,实现共产主义,共建共享,提升民智,,
349,单选题,349.改革既要往有利于增添发展新动力方向前进，也要往有利于维护社会公平正义方向前进，注重从____上推进供给侧结构性改革，着力解决制约经济社会发展的体制机制问题。,D,凝聚共识,形成氛围,完善政策体系,体制机制创新,,
350,单选题,350.全面深化改革，必须加强党的改革的领导，必须坚持问题导向，必须狠抓改革落实，必须深化____。,C,政治体制改革,行政体制改革,对改革规律的认识和运用,对问题的调研和梳理,,
351,单选题,351.全面推进依法治国是一项庞大的系统工程，必须____，在共同推进上着力，在一体化建设上用劲。,A,统筹兼顾、把握重点、整体谋划,整体谋划、统筹安排,统筹谋划、把握重点,整体谋划、通盘考虑、突出重点,,
352,单选题,352.要准确把握全面推进依法治国工作布局，坚持依法治国、依法执政、依法行政共同推进，坚持____、____、____一体建设。,C,依宪治国 依法治国 依规治国,立法 执法 司法,法治国家 法治政府 法治社会,依法治国 以德治国 法德结合,,
353,单选题,353.____是守法用法的前提。要系统学习中国特色社会主义法治理论，准确把握我们党处理法治问题的基本立场。,A,学法懂法,知行合一,解放思想,敬畏法律,,
354,单选题,354.我们要善于把弘扬优秀传统文化和____有机统一起来，紧密结合起来，在继承中发展，在发展中继承。,B,吸收优秀外来文化,发展现实文化,清理传统文化糟粕,优秀传统文化的创造性转化,,
355,单选题,355.____是文艺存在的根本价值所在。能不能搞出优秀作品，最根本的决定于是否能为人民抒写、为人民抒情、为人民抒怀。,C,以人民为中心,社会主义核心价值观,人民的需要,市场的评价,,
356,单选题,356.一部好的作品，应该是____经得起人民评价、专家评价、市场检验的作品，应该是把放在首位，同时也应该是社会效益和经济效益相统一的作品。,A,社会效益,作品质量,群众认可,市场效益,,
357,单选题,357.做好党的____，事关旗帜和道路，事关贯彻落实党的理论和路线方针政策，事关顺利推进党和国家各项事业，事关全党全国各族人民凝聚力和向心力，事关党和国家前途命运。,C,理论宣传工作,宣传教育工作,新闻舆论工作,思想引领工作,,
358,单选题,358.党的新闻舆论工作坚持党性原则，最根本的是____。,A,坚持党对新闻舆论工作的领导,坚持为人民服务,坚持以人民为中心,坚持依法管理新闻舆论工作,,
359,单选题,359.随着国际力量对比消长变化和全球性挑战日益增多，加强全球治理、____是大势所趋。,D,构建新型大国关系,践行亲诚惠容的周边外交理念,倡导共同、综合、合作、可持续的安全观,推动全球治理体系变革,,
360,单选题,360.习近平同志指出，我们要坚定不移发展____，在开放中分享机会和利益、实现互利共赢。,B,经济全球化,开放型世界经济,合作型经济,全球治理体系变革,,
361,单选题,361.习近平同志指出，我们应该紧紧围绕____这条主线，在贸易投资、货币金融、互联互通、可持续发展、创新和产业合作等领域拓展利益汇聚点。,C,互尊互助,开放包容,经济务实合作,和衷共济,,
362,单选题,362.“一带一路”建设是我国在新的历史条件下实行____的重大举措、推行互利共赢的重要平台。,C,改革开放,开放合作,全方位对外开放,互学互鉴,,
363,单选题,363.“一带一路”建设要以____超越文明隔阂、____超越文明冲突、____超越文明优越，推动各国互相理解、相互尊重、相互信任。,D,文化包容 文化和平 文化平等,文明包容 文明和平 文明平等,文明理解 文明合作 文明共存,文明交流 文明互鉴 文明共存,,
364,单选题,364.习近平总书记指出，在新的历史条件下，我们指出“一带一路”倡议，就是要继承和发扬____，把我国发展同沿线和世界各国发展结合起来，把中国梦同沿线和世界各国人民的梦想结合起来，赋予古丝绸之路以全新的时代内涵。,A,丝绸之路精神,中华优秀传统文化,改革开放,21世纪海上丝绸之路精神,,
365,单选题,365.____，是数百年来国与国规范彼此关系最重要的准则，也是联合国及所有机构、组织共同遵循的首要原则。,B,和平共处,主权平等,和而不同,求同存异,,
366,单选题,366.中国共产党始终把为人类作出____作为自己的使命。,B,牺牲,新的更大的贡献,新的更大支持,新的发展,,
367,单选题,367.中国坚定奉行____，尊重各国人民自主选择发展道路的权利，维护国际公平正义，反对把自己的意志强加于人，反对干涉别国内政，反对以强凌弱。,C,相互尊重的和平外交政策,相互尊重的和平发展政策,独立自主的和平外交政策,独立自主的和平发展政策,,
368,单选题,368.建设强大的现代化陆军、海军、空军、火箭军和战略支援部队，打造坚强高效的战区联合____。,D,军事指挥机构,军队指挥机构,军种指挥机构,作战指挥机构,,
369,单选题,369.实施共建____，发起创办亚洲基础设施投资银行，设立丝路基金，举办首届“一带一路”国际合作高峰论坛、亚太经合组织领导人非正式会议、二十国集团领导人杭州峰会、金砖国家领导人厦门会晤、亚信峰会。,C,“一带一路”战略,“一带一路”工程,“一带一路”倡议,“一带一路”政策,,
370,单选题,370.中国将高举和平、发展、合作、共赢的旗帜，恪守维护世界和平、促进____的外交政策宗旨。,B,共同繁荣,共同发展,和平崛起,和平发展,,
371,单选题,371.我们呼吁，各国人民同心协力，构建人类命运共同体，建设____的世界。,C,持久和平、普遍安全、共同繁荣、开放包容、公平正义,持久和平、普遍安全、共同繁荣、公平正义、清洁美丽,持久和平、普遍安全、共同繁荣、开放包容、清洁美丽,持久和平、普遍安全、公平正义、开放包容、清洁美丽,,
372,单选题,372.解决台湾问题、实现祖国完全统一，是全体中华儿女____，是中华民族____所在。,D,一致愿望根本利益,共同愿望本质利益,一致愿望本质利益,共同愿望根本利益,,
373,单选题,373.适应世界新军事革命发展趋势和国家安全需求，提高建设质量和效益，确保到二〇二〇年基本实现____，____建设取得重大进展，____有大的提升。,C,现代化 信息化 战斗能力,机械化 信息化 战斗能力,机械化 信息化 战略能力,现代化 信息化 战略能力,,
374,单选题,374.扎实做好各战略方向军事斗争准备，统筹推进____军事斗争准备，发展新型作战力量和保障力量，开展实战化军事训练，加强军事力量运用，加快军事智能化发展，提高基于网络信息体系的联合作战能力、全域作战能力，有效塑造态势、管控危机、遏制战争、打赢战争。,D,外部安全领域和内部安全领域,国土安全领域和国民安全领域,自身安全领域和共同安全领域,传统安全领域和新型安全领域,,
375,单选题,375.建设强大的现代化陆军、海军、空军、火箭军和战略支援部队，打造坚强高效的战区联合作战指挥机构，构建____，担当起党和人民赋予的新时代使命任务。,B,中国特色军队系统,中国特色现代作战体系,中国特色社会主义军事制度,创新型人民军队,,
376,单选题,376.必须统筹国内国际两个大局，始终不渝走和平发展道路、奉行互利共赢的开放战略，坚持正确义利观，树立____新安全观，谋求开放创新、包容互惠的发展前景。,B,创新发展、开放发展、可持续发展,共同、综合、合作、可持续,人类命运共同体,新时代中国特色社会主义,,
377,单选题,377.统筹____，增强忧患意识，做到居安思危，是我们党治国理政的一个重大原则。,C,创新和发展,安全和可持续发展,发展和安全,国际和国内,,
378,单选题,378.党的十九大报告指出，国家安全是安邦定国的____，维护国家安全是全国各族人民根本利益所在。,B,根本保障,重要基石,力量源泉,基本战略,,
379,单选题,379.当前我国国家安全内涵和外延比历史上任何时候都要丰富，时空领域比历史上任何时候都要宽广，内外因素比历史上任何时候都要复杂，必须坚持总体国家安全观，以____为宗旨，以政治安全为根本，以经济安全为基础，以军事、文化、社会安全为保障，以促进国际安全为依托，走出一条中国特色国家安全道路。,B,国家安全,人民安全,国土安全,精神安全,,
